Log created: 2025-12-01 19:03:28
Type: backup
[2025-12-01 19:07:39][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part002.zip index:16934
[2025-12-01 19:07:49][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part002.zip success. index:16934 file size:195,92 MB
[2025-12-01 19:07:50][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part003.zip index:27990
[2025-12-01 19:07:59][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part003.zip success. index:27990 file size:194,22 MB
[2025-12-01 19:08:00][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part004.zip index:31712
[2025-12-01 19:08:09][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part004.zip success. index:31712 file size:165,25 MB
[2025-12-01 19:08:09][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part005.zip index:37227
[2025-12-01 19:08:18][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part005.zip success. index:37227 file size:185,87 MB
[2025-12-01 19:08:18][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part006.zip index:45946
[2025-12-01 19:08:27][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part006.zip success. index:45946 file size:195,03 MB
[2025-12-01 19:08:28][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part007.zip index:55994
[2025-12-01 19:08:37][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part007.zip success. index:55994 file size:195,02 MB
[2025-12-01 19:08:38][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part008.zip index:64471
[2025-12-01 19:08:47][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part008.zip success. index:64471 file size:193,71 MB
[2025-12-01 19:08:48][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part009.zip index:75254
[2025-12-01 19:08:57][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part009.zip success. index:75254 file size:192,06 MB
[2025-12-01 19:08:58][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part010.zip index:87141
[2025-12-01 19:09:08][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part010.zip success. index:87141 file size:192,34 MB
[2025-12-01 19:09:08][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part011.zip index:96278
[2025-12-01 19:09:18][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part011.zip success. index:96278 file size:194,34 MB
[2025-12-01 19:09:19][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part012.zip index:102669
[2025-12-01 19:09:27][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part012.zip success. index:102669 file size:196,98 MB
[2025-12-01 19:09:28][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part013.zip index:108075
[2025-12-01 19:09:36][notice]Compressing zip file:grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_uploads.part013.zip success. index:108075 file size:192,81 MB
